./scripts/with-fastdds.sh bash -c 'cd interop/fastdds/shapes && ./shapes_sub 45'
[shapes_sub] matched change: 1 total: 1
[shapes_sub] 168: color=ORANGE x=72 y=94 size=30
[shapes_sub] 169: color=ORANGE x=75 y=92 size=30
[shapes_sub] 170: color=ORANGE x=78 y=90 size=30
[shapes_sub] 171: color=ORANGE x=81 y=88 size=30
[shapes_sub] 172: color=ORANGE x=84 y=86 size=30
[shapes_sub] 173: color=ORANGE x=87 y=84 size=30
[shapes_sub] 174: color=ORANGE x=90 y=82 size=30
[shapes_sub] 175: color=ORANGE x=93 y=80 size=30
[shapes_sub] 176: color=ORANGE x=96 y=78 size=30
[shapes_sub] 177: color=ORANGE x=99 y=76 size=30
[shapes_sub] 178: color=ORANGE x=102 y=74 size=30
[shapes_sub] 179: color=ORANGE x=105 y=72 size=30
[shapes_sub] 180: color=ORANGE x=108 y=70 size=30
[shapes_sub] 181: color=ORANGE x=111 y=68 size=30
[shapes_sub] 182: color=ORANGE x=114 y=66 size=30
[shapes_sub] 183: color=ORANGE x=117 y=64 size=30
[shapes_sub] 184: color=ORANGE x=120 y=62 size=30
[shapes_sub] 185: color=ORANGE x=123 y=60 size=30
[shapes_sub] 186: color=ORANGE x=126 y=58 size=30
[shapes_sub] 187: color=ORANGE x=129 y=56 size=30
[shapes_sub] 188: color=ORANGE x=132 y=54 size=30
[shapes_sub] 189: color=ORANGE x=135 y=52 size=30
[shapes_sub] 190: color=ORANGE x=138 y=50 size=30
[shapes_sub] 191: color=ORANGE x=141 y=48 size=30
[shapes_sub] 192: color=ORANGE x=144 y=46 size=30
[shapes_sub] 193: color=ORANGE x=147 y=44 size=30
[shapes_sub] 194: color=ORANGE x=150 y=42 size=30
[shapes_sub] 195: color=ORANGE x=153 y=40 size=30
[shapes_sub] 196: color=ORANGE x=156 y=38 size=30
[shapes_sub] 197: color=ORANGE x=159 y=36 size=30
[shapes_sub] 198: color=ORANGE x=162 y=34 size=30
[shapes_sub] 199: color=ORANGE x=165 y=32 size=30
[shapes_sub] 200: color=ORANGE x=168 y=30 size=30
[shapes_sub] 201: color=ORANGE x=171 y=28 size=30
[shapes_sub] 202: color=ORANGE x=174 y=26 size=30
[shapes_sub] 203: color=ORANGE x=177 y=24 size=30
[shapes_sub] 204: color=ORANGE x=180 y=22 size=30
[shapes_sub] 205: color=ORANGE x=183 y=20 size=30
[shapes_sub] 206: color=ORANGE x=186 y=18 size=30
[shapes_sub] 207: color=ORANGE x=189 y=16 size=30
[shapes_sub] 208: color=ORANGE x=192 y=14 size=30
[shapes_sub] 209: color=ORANGE x=195 y=12 size=30
[shapes_sub] 210: color=ORANGE x=198 y=10 size=30
[shapes_sub] 211: color=ORANGE x=201 y=8 size=30
[shapes_sub] 212: color=ORANGE x=204 y=6 size=30
[shapes_sub] 213: color=ORANGE x=207 y=4 size=30
[shapes_sub] 214: color=ORANGE x=210 y=2 size=30
[shapes_sub] 215: color=ORANGE x=213 y=0 size=30
[shapes_sub] 216: color=ORANGE x=216 y=2 size=30
[shapes_sub] 217: color=ORANGE x=219 y=4 size=30
[shapes_sub] 218: color=ORANGE x=222 y=6 size=30
[shapes_sub] 219: color=ORANGE x=225 y=8 size=30
[shapes_sub] 220: color=ORANGE x=228 y=10 size=30
[shapes_sub] 221: color=ORANGE x=231 y=12 size=30
[shapes_sub] 222: color=ORANGE x=234 y=14 size=30
[shapes_sub] 223: color=ORANGE x=237 y=16 size=30
[shapes_sub] 224: color=ORANGE x=240 y=18 size=30
[shapes_sub] 225: color=ORANGE x=237 y=20 size=30
[shapes_sub] 226: color=ORANGE x=234 y=22 size=30
[shapes_sub] 227: color=ORANGE x=231 y=24 size=30
[shapes_sub] 228: color=ORANGE x=228 y=26 size=30
[shapes_sub] 229: color=ORANGE x=225 y=28 size=30
[shapes_sub] 230: color=ORANGE x=222 y=30 size=30
[shapes_sub] 231: color=ORANGE x=219 y=32 size=30
[shapes_sub] 232: color=ORANGE x=216 y=34 size=30
[shapes_sub] 233: color=ORANGE x=213 y=36 size=30
[shapes_sub] 234: color=ORANGE x=210 y=38 size=30
[shapes_sub] 235: color=ORANGE x=207 y=40 size=30
[shapes_sub] 236: color=ORANGE x=204 y=42 size=30
[shapes_sub] 237: color=ORANGE x=201 y=44 size=30
[shapes_sub] 238: color=ORANGE x=198 y=46 size=30
[shapes_sub] 239: color=ORANGE x=195 y=48 size=30
[shapes_sub] 240: color=ORANGE x=192 y=50 size=30
[shapes_sub] 241: color=ORANGE x=189 y=52 size=30
[shapes_sub] 242: color=ORANGE x=186 y=54 size=30
[shapes_sub] 243: color=ORANGE x=183 y=56 size=30
[shapes_sub] 244: color=ORANGE x=180 y=58 size=30
[shapes_sub] 245: color=ORANGE x=177 y=60 size=30
[shapes_sub] 246: color=ORANGE x=174 y=62 size=30
[shapes_sub] 247: color=ORANGE x=171 y=64 size=30
[shapes_sub] 248: color=ORANGE x=168 y=66 size=30
[shapes_sub] 249: color=ORANGE x=165 y=68 size=30
[shapes_sub] 250: color=ORANGE x=162 y=70 size=30
[shapes_sub] done, received 250
