[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square GREEN x=6 y=138 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=146
[sub] Square GREEN x=9 y=136 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=147
[sub] Square GREEN x=12 y=134 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=148
[sub] Square GREEN x=15 y=132 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=149
[sub] Square GREEN x=18 y=130 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=150
[sub] Square GREEN x=21 y=128 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=151
[sub] Square GREEN x=24 y=126 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=152
[sub] Square GREEN x=27 y=124 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=153
[sub] Square GREEN x=30 y=122 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=154
[sub] Square GREEN x=33 y=120 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=155
[sub] Square GREEN x=36 y=118 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=156
[sub] Square GREEN x=39 y=116 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=157
[sub] Square GREEN x=42 y=114 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=158
[sub] Square GREEN x=45 y=112 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=159
[sub] Square GREEN x=48 y=110 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=160
[sub] Square GREEN x=51 y=108 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=161
[sub] Square GREEN x=54 y=106 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=162
[sub] Square GREEN x=57 y=104 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=163
[sub] Square GREEN x=60 y=102 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=164
[sub] Square GREEN x=63 y=100 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=165
[sub] Square GREEN x=66 y=98 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=166
[sub] Square GREEN x=69 y=96 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=167
[sub] Square GREEN x=72 y=94 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=168
[sub] Square GREEN x=75 y=92 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=169
[sub] Square GREEN x=78 y=90 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=170
[sub] Square GREEN x=81 y=88 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=171
[sub] Square GREEN x=84 y=86 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=172
[sub] Square GREEN x=87 y=84 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=173
[sub] Square GREEN x=90 y=82 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=174
[sub] Square GREEN x=93 y=80 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=175
[sub] Square GREEN x=96 y=78 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=176
[sub] Square GREEN x=99 y=76 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=177
[sub] Square GREEN x=102 y=74 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=178
[sub] Square GREEN x=105 y=72 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=179
[sub] Square GREEN x=108 y=70 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=180
[sub] Square GREEN x=111 y=68 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=181
[sub] Square GREEN x=114 y=66 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=182
[sub] Square GREEN x=117 y=64 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=183
[sub] Square GREEN x=120 y=62 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=184
[sub] Square GREEN x=123 y=60 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=185
[sub] Square GREEN x=126 y=58 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=186
[sub] Square GREEN x=129 y=56 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=187
[sub] Square GREEN x=132 y=54 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=188
[sub] Square GREEN x=135 y=52 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=189
[sub] Square GREEN x=138 y=50 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=190
[sub] Square GREEN x=141 y=48 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=191
[sub] Square GREEN x=144 y=46 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=192
[sub] Square GREEN x=147 y=44 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=193
[sub] Square GREEN x=150 y=42 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=194
[sub] Square GREEN x=153 y=40 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=195
[sub] Square GREEN x=156 y=38 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=196
[sub] Square GREEN x=159 y=36 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=197
[sub] Square GREEN x=162 y=34 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=198
[sub] Square GREEN x=165 y=32 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=199
[sub] Square GREEN x=168 y=30 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=200
[sub] Square GREEN x=171 y=28 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=201
[sub] Square GREEN x=174 y=26 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=202
[sub] Square GREEN x=177 y=24 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=203
[sub] Square GREEN x=180 y=22 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=204
[sub] Square GREEN x=183 y=20 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=205
[sub] Square GREEN x=186 y=18 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=206
